appid,name
714340,Follow My Footsteps
713080,President Evil
713160,After Death
712730,SIMULACRA
712620,Shattered
712130,We Were Here Too - Supporters Edition
712260,Feast Your Eyes: Little Marshmallow
712270,Feast Your Eyes: Little Marshmallow - Official Soundtrack & Other Goodies
711760,Bound To Light
710600,Red Bow
710710,Pizza Game
710950,Pinewood Island
710490,Planet Coaster - Spooky Pack
709920,Tametsi
710070,Helltown
709450,Towards The Pantheon: Escaping Eternity
709560,Until the last
709050,GHOUL
709140,A Dream For Aaron
708320,SOULS Demo
708450,Pembrey
708580,The Exorcist: Legion VR - Chapter 1: First Rites
708020,Jamie's Dream
708190,Code World
707140,Chess
707300,Hatsune Miku VR
706710,Close Your Eyes -Anniversary Remake-
706280,Devil in the Pines
706560,Jimmy and the Pulsating Mass
706020,Fade to Silence
706030,Parking Cop Simulator
705390,Aya's Journey
705450,Wunderdoktor
705640,BACK TO THE EGG!
704990,OSES
704910,Tenta Shooter
705060,Infernales
704270,Generation Zero®
703600,ASTRAL
703730,Sorcery Jokers
703700,Our End of the World
702940,Paper Shakespeare: To Date Or Not To Date?
702490,Seclusion: Islesbury
702130,Deadly Footprints
701710,Affliction Archives DLC
700170,Deserving Life
700290,Close Me - New Game+ & OST Selection Soundtrack
700210,ONE ™
699940,MEMETYPER
700100,Spooky Station
699700,DYING: Reborn 
699710,Rose and Lotus: Petals of Memories
699780,Endless Fables 2: Frozen Path
698780,Doki Doki Literature Club
698670,Scorn
698110,Reficul
697800,One Night You're Crazy
697650,The 25th Ward: The Silver Case
696990,Fear For Freedom
697130,The 9th Gate
696220,Folklore Hunter
696480,The Norwood Suite
696500,Soldiers Of Freedom
696560,Bouncing Duck Simulator
695760,Girls and Dungeons
694680,Santa Claws
694730,Evil Park
694280,Zombie Army 4: Dead War
693800,Loco Parentis
692830,Fear Of Nightmares: Madness Descent
692930,DreadEye VR
691970,The Unwelcomed Demo
692330,Oats Studios - Volume 1: Kapture: Fluke
692100,Infliction
